Usage_ID,Account,TS,Service,SKU,Usage,Unit,Cost,Currency,Region,Free_Tier_Flag,Tag_Owner,Tag_Env,Resource_ID,Ticket_ID,Ticket_Text,Incident_ID,Price_Version,Pricing_Type,Department,Project,SLA_Event,Log_Skew_Seconds,FX_Rate,Purchase_Type,Anomaly_Flag,Duplicate_Flag,Cost_Allocation_Valid
U23488,  ACCT-049  ,08/06/2025 05:21,ML & AI,VM-PREM-2,39088,seconds,"€1,893.90",N/A,us east 1,credit,backend,development,,Ticket-4912,Incident follow-up for Kevin Park,,1,N/A,Ops,Alpha,N,-468,N/A,ON_DEMAND,,,
U25708,ACCT017,30-04-2025 14:42:00,CDN,vmbasic4,5562836,hour,INR621.23,inr,ap-south1,Credit,SECURITY,na,res-db_432,tkt-3418,Ticket raised by Neha Gupta (sara.c@corp.net),INC1227,2025-Q1,OD,product,Epsilon,False,49,104.13,SPOT,,,
U26076,  ACCT-005  ,2025-10-06 25:45,Serverless,VM-std-16,10695,min,"USD 7,129.97",inr,ap south 1,none,grp-finops,na,RES-FUNC-041,ticket1789,Incident follow-up for Carlos Rivera,Incident-4673,N/A,Reserved,Engineering,proj-delta,NO,-257,88.03,SPOT,,,
U23775,  ACCT-046  ,2025-12-20T01:46:00+05:30,Analytics,Vmprem2,124099,seconds,"USD 4,270.25",,ca-central-1,N/A,na,Staging,RES_LB656,t-8588,Ticket raised by Arjun Sharma (arjun.s@corp.com),Incident-3221,2025-Q1,On-Demand,Ops,na,true,-190,105.41,ON_DEMAND,,,
U20246,  ACCT-007  ,2026-02-16 25:28,Storage,Vm.PREM.8,191052,min,INR7101.71,na,ca-central-1,free-tier,team_finops,test,res-db.877,N/A,support contact Neha Gupta,INC6888,V1.0,reserved,XYZ999,Delta,Y,398,na,RESERVED,,,
U26828,Acct-033,2025-04-30 25:26,Analytics,VmPREM8,106084,sec,€3884.85,,eu_central_1,free_tier,TEAM-FRONTEND,DEV,res-lb-tcp_224,,Automated: Disk I/O anomaly detected,incident-2086,v2,Spot,ENGINEERING,proj_delta,1,330,91.98,ON_DEMAND,,,
U29817,acct-0013,2025-02-18 11:27:00+00:00,Security,Vm-PREM-16,8181838,hours,"€7,784.12",inr,ap-south-1,free-tier,security,prod,res-db501,TICKET-3642,Auto ticket: Memory utilization high,INC-4425,,Preemptible,Data Science,EPSILON,no,-441,,ON_DEMAND,,,
U27646,acct004,2025-04-13 12:33:00,Compute,VM.Std.2,239113,seconds,USD 7822.94,INR₹,US-EAST-1,,TEAM-BACKEND,dev,RES-FUNC-787,t-3623,Ticket raised by Arjun Sharma (arjun.s@corp.com),N/A,v1,RI,FINANCE,proj-alpha,false,364,N/A,RESERVED,,,
U24137,ACCT048,2025-04-21 25:32,CDN,Vm-BASIC-8,350560,seconds,"€2,072.45",eur,ca_central_1,FreeTier,,test,res-lb-tcp-015,T-2142,Auto ticket: Memory utilization high,incident-4719,V2,Spot,Product,proj_delta,Y,-421,N/A,ON_DEMAND,,,
U29883,ACCT_036,2025-01-27 04:30:00+00:00,ML & AI,vm-std-16,292983,hour,₹4045.25,inr,us_east_1,NONE,TEAM-SRE,STAGING,na,,Customer Arjun Sharma raised billing issue,N/A,V2,On-Demand,na,PROJ_BETA,Yes,140,106.18,RESERVED,,,
U23863,ACCT-036,2025-09-08 25:18,Storage,VM.prem.4,306156,second,"₹7,683.19",inr,us_east_1,None,,dev,na,TICKET-8500,Access denied for user Sara Chen,INC-8353,2025-Q1,spot,Product,Alpha,yes,115,88.58,RESERVED,,,
U23983,Acct-010,05-02-2025 04:08:00,Compute,VM_STD_4,50476,hr,9842.99,N/A,CA-CENTRAL,,grp-data,PROD,RES_LB-609,t-6918,Ticket raised by Kevin Park (kevin.p@biz.org),N/A,,Preemptible,UNKNOWN,beta,n,-316,,ON_DEMAND,,,
U25507,ACCT045,2025-10-05 11:36:00,Compute,VM.prem.4,264120,hours,€2951.75,eur,ap-south1,credit,N/A,staging,,TICKET-2414,Access denied for user Arjun Sharma,N/A,2025-Q4,N/A,prod,Delta,True,-407,N/A,ON_DEMAND,,,
U28393,acct016,2025-03-25T19:39:00+05:30,Compute,vm.std.8,275594,min,$4272.61,EUR,CA-CENTRAL,None,frontend,TEST,RES_LB-250,tkt-3811,Access denied for user Sara Chen,Incident-4409,v1.0,SPOT,fin,beta,N,461,105.77,RESERVED,,,
U24425,acct-0036,10/06/2025 23:45,ML & AI,Vm.Std.16,"42,000",min,612.09,,AP-SOUTH-1,free-tier,na,,,TICKET-8146,support contact Carlos Rivera,N/A,2025-q4,ri,eng,DELTA,1,56,82.35,ON_DEMAND,,,
U29758,acct036,2025-03-13 25:24,ML & AI,vm_prem_16,81867,hour,"USD 4,371.76",USD,EU Central,NONE,na,DEV,RES_LB_177,,support contact Arjun Sharma,Incident-2176,2025-q4,ri,engineering,Beta,n,427,82.14,ON_DEMAND,,,
U21375,acct-0020,2025-01-23 23:51:00-08:00,Containers,VMStd16,300657,hour,"8,701.90",USD,ap south 1,,na,Staging,na,N/A,Billing dispute from carlos.r@firm.co,Incident-3246,N/A,ri,unknown,PROJ_BETA,true,-15925,na,RESERVED,,,
U24511,acct048,2026-01-17 25:03,Containers,VM.std.2,"263,655",hour,€1252.17,inr,CA-CENTRAL,N/A,grp-finops,N/A,vm204,T-9589,Customer Neha Gupta raised billing issue,incident-9889,V2.0,ondemand,ENG,PROJ-ALPHA,,-424,N/A,RESERVED,,,
U23177,ACCT_006,2025-02-07 25:50,CDN,Vm.STD.4,197426,hour,$7468.34,INR₹,ca-central-1,credit,na,,na,,Auto ticket: Memory utilization high,INC9243,2025-q1,SPOT,Finance,proj-epsilon,No,181,104.47,ON_DEMAND,,,
U20406,ACCT-003,2025/05/17 12:26,Containers,Vm.prem.2,35612,hours,"USD 4,856.79",inr,ap-south-1,na,,Dev,na,T-5416,Auto ticket: Memory utilization high,INC-3820,2025-Q1,Preemptible,Engineering,unknown,NO,112,na,ON_DEMAND,,,
U24049,acct-049,2025-12-27 25:15,Compute,VM.Std.16,332070,hour,USD 819.05,N/A,eu-central1,na,grp-ml,DEV,RES-VM_477,,support contact Carlos Rivera,,2025-Q4,Reserve,DS,proj_delta,Y,268,na,SPOT,,,
U26200,ACCT008,2026-02-04 11:14:00-08:00,Serverless,vm-basic-4,245482,s,INR2168.69,INR₹,ca central 1,,TEAM-DATA,Staging,res-func789,TKT-1869,Billing dispute from carlos.r@firm.co,Incident-2136,2025-Q1,RESERVED,prod,na,0,74,,ON_DEMAND,,,
U25624,  ACCT-014  ,2025/12/10 09:17,ML & AI,VM_Std_8,"207,851",minutes,€4854.78,N/A,ap south 1,None,,prod,res-k8s-node.551,TICKET-3173,Billing dispute from kevin.p@biz.org,INC-4011,V1.0,RESERVED,operations,Proj-Beta,yes,-39645,103.31,SPOT,,,
U27660,acct-023,2025-01-24 07:07:00+00:00,Analytics,vmbasic8,137533,second,USD 5488.71,EUR,ca_central_1,N/A,DEVOPS,DEV,N/A,t-4581,Access denied for user Arjun Sharma,incident-2975,v2,RI,eng,Beta,YES,-91369,83.55,ON_DEMAND,,,
U23401,acct031,2025/12/11 17:50,Database,vm-prem-16,172935,hr,"$5,597.77",,ap_southeast_1,CREDIT,grp-security,Staging,res-lb-tcp470,,Ticket raised by Carlos Rivera (carlos.r@firm.co),Incident-7618,v3,RI,unknown,,FALSE,-145,82.67,SPOT,,,
U20036,acct-030,2025-02-26 15:38:00,Analytics,Vm_std_8,"225,104",hours,4165.96,N/A,eu-central-1,None,grp-finops,TEST,RES_LB045,TICKET-7116,support contact Carlos Rivera,N/A,v1.0,,prod,proj-delta,y,-28432,,ON_DEMAND,,,
U24804-DUP,acct-050,2025-12-22 25:35,Serverless,VM-Std-4,219148,s,"USD 5,471.77",INR,eu-central-1,credit,N/A,Prod,RES-FUNC.790,Ticket-6923,support contact Sara Chen,INCI_8462,v1,RESERVED,PRODUCT,alpha,y,-159,90.84,SPOT,,,
U20892,acct049,05/02/2025 21:53,Database,vm-PREM-16,277861,hrs,INR1697.89,Us Dollar,ca_central_1,free_tier,Team-DEVOPS,DEV,RES-FUNC_946,N/A,Ticket raised by Carlos Rivera (arjun.s@corp.com),INC6183,N/A,Reserve,PROD,proj-beta,No,-193,na,ON_DEMAND,,,
U22291,ACCT035,2025-03-01 06:17:00-08:00,ML & AI,vm.STD.2,56576,hour,€25.97,usd,ap_southeast_1,free-tier,TEAM-SECURITY,N/A,res-vm531,N/A,Automated: Disk I/O anomaly detected,INCI_4817,V1,spot,operations,proj-delta,NO,-331,,SPOT,,,
U28290,  ACCT-004  ,03-12-2025 11:48:00,Serverless,vm-basic-4,209499,hours,$6503.25,,ca central 1,freetier,,staging,res-lb-tcp.474,t-2633,Automated: Disk I/O anomaly detected,Incident-6686,V1,Preemptible,product,Beta,N,-495,N/A,ON_DEMAND,,,
U27589,ACCT-048,2025-05-14 25:42,Containers,vm-BASIC-8,351186,second,"₹3,874.60",inr,us east 1,N/A,backend,test,res-db_396,TICKET-2104,Auto ticket: Memory utilization high,INCI_7584,2025-Q4,,PRODUCT,beta,0,-47,N/A,SPOT,,,
U29809,acct-019,2025-04-23T10:51:00+05:30,Storage,vmstd4,243044,hour,"USD 3,999.03",na,AP-SOUTH-1,None,,Prod,res-k8s-node845,ticket3716,Customer Arjun Sharma raised billing issue,N/A,V2,Spot,ENG,EPSILON,no,0,N/A,ON_DEMAND,,,
U26570,  ACCT-047  ,2026-01-16 01:36:00,Database,Vm.BASIC.2,6651,hour,$5531.13,na,ap south 1,Credit,Team-FRONTEND,stage,na,Ticket-7974,System alert: CPU spike on resource,N/A,V1.0,N/A,N/A,proj-beta,No,-422,106.31,ON_DEMAND,,,
U21380,acct014,2025-01-22 02:58:00,Analytics,VM-PREM-4,"120,475",hrs,8949.01,eur,eu-central1,none,team-backend,Prod,na,t-5382,support contact Sara Chen,,2025-Q1,RESERVED,ENG,proj-delta,True,-359,N/A,ON_DEMAND,,,
U27633,ACCT-011,2025/02/24 20:08,Compute,VmSTD2,278371,min,₹7683.31,,ap-south-1,credit,grp-backend,stage,res-vm-431,TICKET-6908,Automated: Disk I/O anomaly detected,,V1.0,Preemptible,unknown,PROJ_BETA,0,-433,90.9,ON_DEMAND,,,
U23984,acct-011,2025/09/17 22:01,ML & AI,VmStd8,305681,minutes,1800.24,INR,USEast1,NONE,TEAM-DATA,production,res-func984,tkt-8672,Access denied for user Arjun Sharma,Incident-7043,2025-Q1,Preemptible,eng,unknown,1,409,82.59,RESERVED,,,
U26626,acct025,2025-02-20 23:07:00-08:00,Security,VM-BASIC-8,270095,minute,€2843.88,inr,AP-SE-1,Credit,BACKEND,production,res-vm_903,ticket4395,"Neha Gupta, 9876543210 reported latency",incident-5802,1,ON-DEMAND,Ops,Delta,yes,53,N/A,ON_DEMAND,,,
U24271,acct033,29-04-2025 13:27:00,ML & AI,vm.STD.16,175022,seconds,$3960.45,INR₹,AP-SE-1,FreeTier,team-backend,PROD,res-k8s-node_511,t-7458,Auto ticket: Memory utilization high,N/A,2025-Q4,reserved,OPS,beta,false,-67,na,RESERVED,,,
U22419,Acct-035,02-05-2025 03:32:00,Containers,Vmbasic16,"31,777",second,€2314.97,INR,us-east-1,None,team_sre,test,RES-VM_298,N/A,Access denied for user Carlos Rivera,N/A,N/A,SPOT,operations,proj_alpha,TRUE,-70525,90.03,ON_DEMAND,,,
U24388,ACCT022,2025-09-15 02:13:00-08:00,Serverless,VmPREM16,218295,min,8856.71,Us Dollar,ap-se-1,None,N/A,STAGING,RES_LB_768,TKT-3883,Incident follow-up for Carlos Rivera,INC4969,2025-q1,RESERVED,data science,Proj-Beta,yes,-181,,ON_DEMAND,,,
U23891,acct036,2025-07-01T07:07:00+05:30,ML & AI,vm-BASIC-4,204538,min,6208.65,eur,ap-southeast-1,CREDIT,na,,RES-VM_195,TKT-6791,Customer Sara Chen raised billing issue,,v2,on-demand,PRODUCT,PROJ-ALPHA,N,-381,N/A,ON_DEMAND,,,
U22414,acct008,08/01/2025 16:43,ML & AI,VmStd4,"23,160",hours,"5,962.81",USD,ca_central_1,Credit,devops,Staging,,TICKET-8709,Customer Kevin Park raised billing issue,INC8355,V1,ri,XYZ999,proj_delta,,-383,N/A,ON_DEMAND,,,
U23145,Acct-020,2025-10-26 25:19,Networking,VM-basic-8,331928,min,INR84.59,eur,us east 1,none,N/A,STAGING,res-vm-345,ticket1383,Ticket raised by Arjun Sharma (arjun.s@corp.com),,v1,reserved,operations,,1,-454,105.55,ON_DEMAND,,,
U22193,acct-036,2026/01/04 10:44,Storage,vm.basic.4,200096,hours,"USD 2,372.64",Us Dollar,ap_south_1,free_tier,grp-frontend,Prod,RES-K8S-146,TICKET-6887,System alert: CPU spike on resource,INC3206,v3,ri,DS,,YES,-396,N/A,ON_DEMAND,,,
U24120,ACCT020,28-01-2026 03:14:00,Analytics,vm-std-2,56329,hrs,5367.46,,us-east-1,none,na,Testing,res-db-066,t-7129,"Neha Gupta, 89012345 reported latency",INC-1461,V3,OD,engineering,proj_alpha,,307,,ON_DEMAND,,,
U22777,Acct-027,2025/12/11 21:27,CDN,VM_PREM_8,"103,240",hours,"INR3,346.94",usd,USEast1,None,team-devops,DEV,,TKT-4593,System alert: CPU spike on resource,N/A,V1.0,on-demand,FIN,unknown,NO,-83364,na,ON_DEMAND,,,
U29488,  ACCT-001  ,2025-07-07T02:16:00+05:30,CDN,Vm_std_4,112877,sec,"₹6,852.45",na,ap-south1,free_tier,team-data,DEV,RES-K8S.647,ticket5847,Access denied for user Kevin Park,incident-8021,N/A,Reserve,prod,Proj-Beta,NO,-113,104.36,ON_DEMAND,,,
U21057,acct-019,2025-01-08T06:04:00+05:30,ML & AI,VMBASIC4,334786,s,"USD 2,556.69",INR₹,eucentral1,na,team_sre,PROD,na,N/A,Automated: Disk I/O anomaly detected,INC-1848,V2,Preemptible,na,UNKNOWN,Y,195,,SPOT,,,
U27232,  ACCT-025  ,2025-07-12 09:20:00,Compute,VM-BASIC-4,310054,s,"$7,859.85",EUR,US-EAST-1,None,na,DEV,RES-FUNC314,TICKET-4129,System alert: CPU spike on resource,N/A,V2.0,spot,PROD,EPSILON,true,469,83.31,ON_DEMAND,,,
U26328,acct-012,2025-10-29 25:39,ML & AI,VM-STD-8,305583,minutes,INR6200.59,EUR,us-east-1,free_tier,N/A,stage,res-vm074,N/A,Customer Carlos Rivera raised billing issue,incident-2607,v2,Reserve,ops,proj-beta,true,203,na,ON_DEMAND,,,
U25580,acct-0046,2025-02-12 14:15:00+00:00,Storage,Vm-basic-4,226782,hours,$597.00,inr,EU Central,credit,N/A,stage,RES_LB.178,N/A,Customer Neha Gupta raised billing issue,INCI_9792,2025-q4,N/A,ENG,PROJ-ALPHA,True,229,N/A,ON_DEMAND,,,
U26976,acct-0043,2025-04-24T21:52:00+05:30,Analytics,Vm_Std_2,312383,min,$137.46,usd,Asia Pacific (Mumbai),N/A,team_finops,N/A,,TKT-1617,support contact Carlos Rivera,INCI_3615,1,On-Demand,UNKNOWN,UNKNOWN,y,130,83.35,ON_DEMAND,,,
U21808,acct-045,04/28/2025 03:48,Security,vm.PREM.2,47479,second,INR6606.64,INR₹,AP-SE-1,CREDIT,TEAM-SECURITY,Staging,vm_770,N/A,support contact Sara Chen,,2025-Q4,Reserve,Operations,unknown,,167,83.32,ON_DEMAND,,,
U24152,acct-0012,2025-03-02T14:46:00+05:30,CDN,Vm.PREM.8,"27,378",minutes,3269.86,usd,eu-central-1,,team-data,test,RES-K8S-256,,Auto ticket: Memory utilization high,,V1,,UNKNOWN,Delta,,-167,82.48,ON_DEMAND,,,
U20479,acct-034,2025/10/31 01:11,Serverless,Vmprem2,"72,232",hrs,USD 6084.55,eur,AP-SOUTH-1,,frontend,Staging,RES-VM_831,Ticket-4376,Incident follow-up for Neha Gupta,INC-9574,V1.0,OD,prod,PROJ_BETA,YES,14,82.68,ON_DEMAND,,,
U26775,acct-0048,2026-02-16 01:19:00-08:00,Storage,VmSTD4,344273,sec,USD 650.64,INR,ca central 1,freetier,team_frontend,STAGING,na,t-8515,Billing dispute from arjun.s@corp.com,N/A,V2,On-Demand,Ops,UNKNOWN,FALSE,-447,na,RESERVED,,,
U26122,acct-008,2025-04-14 14:33:00-08:00,Analytics,VM.basic.2,65502,seconds,$8359.74,N/A,ap-south-1,NONE,grp-devops,Dev,res-vm-453,TICKET-2091,Access denied for user Neha Gupta,,V3,OD,Finance,PROJ_BETA,FALSE,-164,na,ON_DEMAND,,,
U22281,ACCT_010,2025-09-21 25:18,Database,vm.PREM.16,164246,hrs,"₹8,762.43",eur,ap-south1,free-tier,frontend,dev,RES-DB-507,Ticket-8840,"Neha Gupta, +1-555-0192 reported latency",INC-2919,2025-Q4,ondemand,operations,proj-beta,yes,300,89.25,RESERVED,,,
U29602,  ACCT-017  ,2025-12-21T23:09:00+05:30,Containers,Vm_STD_4,"1,838",s,"₹5,128.69",INR,CA-CENTRAL,CREDIT,N/A,Production,RES_LB-394,N/A,support contact Neha Gupta,INCI_8004,V3,ri,Operations,alpha,Yes,156,na,ON_DEMAND,,,
U25500,acct-011,2025-05-12 21:42:00-08:00,Storage,Vm.std.4,"330,466",seconds,€4627.79,na,EU Central,CREDIT,team_frontend,stage,res-vm.357,ticket7800,support contact Kevin Park,N/A,v2,Reserve,ENGINEERING,proj-alpha,No,-193,N/A,ON_DEMAND,,,
U24636,ACCT_016,2025-09-20T12:00:00+05:30,Storage,VM.PREM.2,"310,991",minutes,"USD 5,659.36",USD,AP-SE-1,credit,,TEST,vm448,N/A,System alert: CPU spike on resource,INC-1626,V1,Reserve,DATA_SCIENCE,N/A,Yes,-241,na,RESERVED,,,
U23225,ACCT034,2025-10-28 22:44:00+00:00,Serverless,vm_std_8,91470,seconds,$2703.49,Us Dollar,ap-south-1,credit,Team-BACKEND,STAGING,RES_LB624,,Billing dispute from arjun.s@corp.com,INCI_8737,V2,on-demand,Ops,proj_alpha,n,-353,na,RESERVED,,,
U28121,acct-003,2025-02-05 17:50:00-08:00,Networking,Vmbasic16,5166,sec,INR6723.04,eur,EU-CENTRAL-1,None,ml,staging,res-db451,,Access denied for user Carlos Rivera,N/A,V2.0,spot,Ops,proj_alpha,FALSE,95,82.94,ON_DEMAND,,,
U21046,  ACCT-045  ,2025/06/23 16:14,Analytics,vm_Std_8,283871,s,"USD 7,585.95",Us Dollar,EU-CENTRAL-1,free_tier,team_finops,STAGING,,T-9135,Automated: Disk I/O anomaly detected,,V1.0,spot,PROD,Alpha,YES,-52,103.65,ON_DEMAND,,,
U26108,ACCT037,2025-07-15 13:59:00+00:00,Security,Vm_basic_2,163056,seconds,$3137.85,,ap_south_1,none,,dev,N/A,,support contact Arjun Sharma,INCI_5595,2025-Q4,Reserved,DATA_SCIENCE,na,TRUE,-92022,na,ON_DEMAND,,,
U28946,ACCT_044,02/10/2026 04:39,CDN,Vm-Std-2,101111,s,$4773.29,usd,eu-central-1,free-tier,TEAM-FINOPS,staging,N/A,T-8481,Incident follow-up for Neha Gupta,,V1.0,Reserve,Engineering,Epsilon,1,282,88.58,ON_DEMAND,,,
U27501,acct-0041,2025-10-20 25:59,Containers,VM.std.8,248820,minute,INR7144.70,INR₹,us_east_1,Credit,na,Staging,RES_LB_288,TICKET-2217,Customer Sara Chen raised billing issue,INC2557,V1,ON-DEMAND,na,,y,338,82.8,ON_DEMAND,,,
U21483,ACCT031,2025-04-07 04:38:00+00:00,ML & AI,vmstd2,182477,hr,INR2699.85,INR,ca_central_1,none,TEAM-FINOPS,prod,RES-FUNC218,,"Neha Gupta, 04412345678 reported latency",incident-9378,v1.0,Spot,data science,Epsilon,1,-480,,ON_DEMAND,,,
U21742,acct022,09/10/2025 13:26,ML & AI,vm.std.8,"141,550",hour,"₹9,924.22",Us Dollar,ca central 1,Credit,na,STAGING,,TICKET-4515,Auto ticket: Memory utilization high,incident-9054,V1.0,on-demand,FIN,proj_delta,N,357,,RESERVED,,,
U25197,ACCT029,2025-10-17 05:56:00-08:00,Serverless,vm_prem_8,41465,second,"$9,159.67",,eu-central1,freetier,Team-SECURITY,Testing,,t-9332,Customer Kevin Park raised billing issue,incident-5941,2025-Q1,,DATA_SCIENCE,proj-epsilon,no,-358,105.71,ON_DEMAND,,,
U27355,acct022,2025-07-11 03:47:00-08:00,ML & AI,vm_BASIC_8,138138,sec,"₹1,431.83",,ap_southeast_1,none,,production,res-k8s-node.914,TKT-2796,Incident follow-up for Neha Gupta,Incident-4185,,N/A,Data Science,PROJ-ALPHA,Y,440,83.13,ON_DEMAND,,,
U29700,ACCT-021,21-07-2025 06:50:00,ML & AI,vm-Std-4,348270,hours,"INR1,532.86",INR₹,Singapore,Credit,data,development,RES-DB_255,TKT-7241,support contact Sara Chen,N/A,V3,RESERVED,ENGINEERING,,false,-304,104.39,RESERVED,,,
U21480,  ACCT-009  ,19-12-2025 08:58:00,Serverless,Vm-basic-2,138803,second,INR9763.60,na,AP-SE-1,Credit,Team-ML,TEST,RES-DB_925,ticket8267,"Neha Gupta, +1-555-0192 reported latency",,v2,preemptible,engineering,beta,FALSE,-78499,,RESERVED,,,
U23627,ACCT_004,2025-03-28 25:22,Serverless,vm_PREM_16,"296,824",minute,USD 225.13,na,ca-central-1,Credit,backend,prod,RES-VM712,,Billing dispute from sara.c@corp.net,incident-9009,V1,SPOT,unknown,proj-epsilon,False,-270,,ON_DEMAND,,,
U27079,acct-017,2025-02-14 18:54:00,Storage,vm_Std_2,"194,110",hr,€7772.78,inr,us_east_1,credit,backend,DEV,res-func-604,t-4129,Billing dispute from kevin.p@biz.org,INC2742,2025-q1,ri,UNKNOWN,UNKNOWN,yes,176,,ON_DEMAND,,,
U21967,ACCT039,2025-03-12 25:30,Compute,Vm_PREM_8,287621,seconds,"₹5,389.56",usd,us-east-1,N/A,,production,res-db-141,ticket8123,Auto ticket: Memory utilization high,incident-2723,2025-q1,,DATA_SCIENCE,,NO,54,na,SPOT,,,
U24021,acct-0006,2025-04-30 04:11:00+00:00,Compute,Vm_prem_4,202209,minutes,€381.13,na,us-east-1,free-tier,Team-BACKEND,staging,RES-K8S-987,ticket3151,Customer Neha Gupta raised billing issue,Incident-6520,V1.0,OD,Product,Delta,True,121,106.19,SPOT,,,
U27249,ACCT-042,31-10-2025 23:08:00,Database,VMStd4,285559,sec,"INR9,872.17",EUR,ap_southeast_1,freetier,data,dev,,tkt-9046,support contact Neha Gupta,INC-4301,2025-Q4,ON-DEMAND,DS,proj_alpha,No,-28746,105.24,ON_DEMAND,,,
U25922,Acct-016,2025-07-30 07:53:00+00:00,Database,Vm-basic-8,275691,min,8562.57,USD,us east 1,freetier,team-data,dev,res-func.300,tkt-8061,System alert: CPU spike on resource,INCI_7243,V1,on-demand,N/A,proj-alpha,no,-283,na,ON_DEMAND,,,
U21278,  ACCT-025  ,2025-06-12 19:46:00-08:00,Networking,vm.prem.8,194666,sec,"$8,003.25",INR₹,AP-SE-1,None,team_devops,stage,RES_LB.195,ticket8758,support contact Neha Gupta,incident-3533,2025-q1,OD,eng,proj-alpha,TRUE,299,na,ON_DEMAND,,,
